Date,PredictionToday,ActualToday,PredictionTomorrow,SwitchOff,SwitchOn
2026-02-05,2.64,,,,
2026-02-06,2.03,,,,
2026-02-08,5.76,5.6,4.41,08:00,18:00
2026-02-09,5.96,4.4,4.51,,
2026-02-10,3.99,3.0,3.19,,
2026-02-11,2.92,3.2,8.25,,
2026-02-12,7.0,6.0,12.42,,
2026-02-13,12.68,11.5,4.17,,
2026-02-14,5.12,7.5,10.7,,
2026-02-15,9.59,3.4,5.61,,
2026-02-16,5.33,2.3,11.77,,
2026-02-17,12.52,4.3,16.52,,
2026-02-18,17.91,20.7,8.37,,
2026-02-19,8.23,9.7,16.1,,
2026-02-20,14.92,21.7,6.92,,
2026-02-21,8.06,10.0,4.83,,
2026-02-22,4.31,6.9,13.83,20:52,20:54
2026-02-23,13.51,15.4,13.0,16:00,16:02
2026-02-24,13.19,16.7,17.61,,
2026-02-25,18.5,27.2,18.7,,
2026-02-26,18.99,29.1,20.25,,
2026-02-27,20.25,36.3,20.9,12:00,15:00
2026-02-28,21.12,32.5,13.71,11:00,14:00
2026-03-01,14.34,18.1,22.21,,
2026-03-02,30.51,35.4,26.57,09:00,15:00
2026-03-03,32.0,32.4,35.0,14:00,14:04
2026-03-04,33.0,33.8,31.0,,
2026-03-05,35.0,35.0,32.0,,
2026-03-06,31.54,35.1,32.18,10:00,16:00
2026-03-07,32.31,34.6,28.36,,
2026-03-08,27.81,26.2,33.36,,
2026-03-09,32.49,37.0,24.68,,
2026-03-10,26.73,27.5,32.71,12:00,15:00
2026-03-11,32.74,37.1,13.9,10:00,16:00
2026-03-12,15.22,17.6,34.29,,
2026-03-13,32.21,36.4,28.6,12:00,14:00
2026-03-14,29.87,31.4,14.23,09:00,15:00
2026-03-15,23.98,21.7,21.5,11:00,15:00
2026-03-16,17.26,13.6,21.4,,
2026-03-17,18.33,16.8,37.1,,
2026-03-18,36.76,36.4,36.1,11:00,15:00
2026-03-19,37.6,42.8,30.12,12:00,16:00
2026-03-20,30.26,27.5,13.72,08:00,13:00
2026-03-21,11.62,13.7,28.61,,
2026-03-22,30.85,23.1,32.17,09:00,15:00
2026-03-23,36.71,38.3,30.17,11:00,14:00
2026-03-24,32.94,25.3,32.31,14:20,15:40
2026-03-25,28.65,28.5,16.18,,
2026-03-26,15.03,13.0,14.44,,
2026-03-27,18.09,17.2,12.3,,
2026-03-28,7.72,8.7,9.68,,
