time,date,sunrise,sunset,irr_wm2,irr_source,cloud_cover,temperature_2m,rain,snowfall,snow_depth,pr_used,pv_kw_pred,snow_factor,step_kwh
2026-05-10 00:00:00,2026-05-10,2026-05-10 05:18:00,2026-05-10 20:22:00,0.0,gti,0,8.4,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-05-10 01:00:00,2026-05-10,2026-05-10 05:18:00,2026-05-10 20:22:00,0.0,gti,0,7.5,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-05-10 02:00:00,2026-05-10,2026-05-10 05:18:00,2026-05-10 20:22:00,0.0,gti,0,6.8,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-05-10 03:00:00,2026-05-10,2026-05-10 05:18:00,2026-05-10 20:22:00,0.0,gti,9,6.3,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-05-10 04:00:00,2026-05-10,2026-05-10 05:18:00,2026-05-10 20:22:00,0.0,gti,0,5.9,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-05-10 05:00:00,2026-05-10,2026-05-10 05:18:00,2026-05-10 20:22:00,0.0,gti,0,5.3,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-05-10 06:00:00,2026-05-10,2026-05-10 05:18:00,2026-05-10 20:22:00,9.6,gti,0,5.3,0.0,0.0,0.0,0.82,0.06455039999999998,1.0,0.06455039999999998
2026-05-10 07:00:00,2026-05-10,2026-05-10 05:18:00,2026-05-10 20:22:00,54.4,gti,0,7.6,0.0,0.0,0.0,0.82,0.36578559999999993,1.0,0.36578559999999993
2026-05-10 08:00:00,2026-05-10,2026-05-10 05:18:00,2026-05-10 20:22:00,98.5,gti,0,10.3,0.0,0.0,0.0,0.82,0.662314,1.0,0.662314
2026-05-10 09:00:00,2026-05-10,2026-05-10 05:18:00,2026-05-10 20:22:00,265.3,gti,0,12.6,0.0,0.0,0.0,0.82,1.7838772,1.0,1.7838772
2026-05-10 10:00:00,2026-05-10,2026-05-10 05:18:00,2026-05-10 20:22:00,457.7,gti,0,14.3,0.0,0.0,0.0,0.82,3.0775747999999994,1.0,3.0775747999999994
2026-05-10 11:00:00,2026-05-10,2026-05-10 05:18:00,2026-05-10 20:22:00,643.6,gti,0,15.9,0.0,0.0,0.0,0.82,4.327566399999999,1.0,4.327566399999999
2026-05-10 12:00:00,2026-05-10,2026-05-10 05:18:00,2026-05-10 20:22:00,800.5,gti,0,17.5,0.0,0.0,0.0,0.82,5.382561999999999,1.0,5.382561999999999
2026-05-10 13:00:00,2026-05-10,2026-05-10 05:18:00,2026-05-10 20:22:00,910.8,gti,0,18.8,0.0,0.0,0.0,0.82,6.124219199999999,1.0,6.124219199999999
2026-05-10 14:00:00,2026-05-10,2026-05-10 05:18:00,2026-05-10 20:22:00,957.9,gti,0,19.9,0.0,0.0,0.0,0.82,6.440919599999999,1.0,6.440919599999999
2026-05-10 15:00:00,2026-05-10,2026-05-10 05:18:00,2026-05-10 20:22:00,940.3,gti,0,20.5,0.0,0.0,0.0,0.82,6.322577199999999,1.0,6.322577199999999
2026-05-10 16:00:00,2026-05-10,2026-05-10 05:18:00,2026-05-10 20:22:00,855.3,gti,25,20.7,0.0,0.0,0.0,0.82,5.751037199999999,1.0,5.751037199999999
2026-05-10 17:00:00,2026-05-10,2026-05-10 05:18:00,2026-05-10 20:22:00,716.1,gti,3,20.6,0.0,0.0,0.0,0.82,4.8150564,1.0,4.8150564
2026-05-10 18:00:00,2026-05-10,2026-05-10 05:18:00,2026-05-10 20:22:00,508.0,gti,100,20.6,0.0,0.0,0.0,0.82,3.4157919999999993,1.0,3.4157919999999993
2026-05-10 19:00:00,2026-05-10,2026-05-10 05:18:00,2026-05-10 20:22:00,243.0,gti,100,19.9,0.0,0.0,0.0,0.82,1.6339319999999997,1.0,1.6339319999999997
2026-05-10 20:00:00,2026-05-10,2026-05-10 05:18:00,2026-05-10 20:22:00,70.2,gti,100,18.1,0.0,0.0,0.0,0.82,0.4720247999999999,1.0,0.4720247999999999
2026-05-10 21:00:00,2026-05-10,2026-05-10 05:18:00,2026-05-10 20:22:00,1.9,gti,100,16.0,0.0,0.0,0.0,0.82,0.012775599999999998,1.0,0.012775599999999998
2026-05-10 22:00:00,2026-05-10,2026-05-10 05:18:00,2026-05-10 20:22:00,0.0,gti,20,14.6,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-05-10 23:00:00,2026-05-10,2026-05-10 05:18:00,2026-05-10 20:22:00,0.0,gti,51,13.4,0.0,0.0,0.0,0.82,0.0,1.0,0.0
